source,target,source_lexname,target_lexname,lexical_function
ls:fr:node:31028,ls:fr:node:41991,rivière,se déverser,Func2
ls:fr:node:31028,ls:fr:node:42060,rivière,s’écouler,Func2
ls:fr:node:33254,ls:fr:node:26891,bouteille,contenir,Func2
ls:fr:node:33254,ls:fr:node:42754,bouteille,renfermer,Func2
ls:fr:node:38342,ls:fr:node:35079,vêtement,recouvrir,Func2
ls:fr:node:38614,ls:fr:node:35079,manteau,recouvrir,Func2
ls:fr:node:38615,ls:fr:node:31065,nuage,flotter,Func2
ls:fr:node:39297,ls:fr:node:35079,habit,recouvrir,Func2
ls:fr:node:39326,ls:fr:node:41346,menace,planer,Func2
ls:fr:node:40798,ls:fr:node:41385,peuple,peupler,Func2
ls:fr:node:41556,ls:fr:node:41768,politique,consister,Func2
ls:fr:node:42534,ls:fr:node:43581,nuages,menacer,Func2
ls:fr:node:42534,ls:fr:node:31074,nuages,flotter,Func2
ls:fr:node:42534,ls:fr:node:41346,nuages,planer,Func2
ls:fr:node:42566,ls:fr:node:44099,tornade,balayer,Func2
ls:fr:node:42567,ls:fr:node:44104,tornade,atteindre,Func2
ls:fr:node:42567,ls:fr:node:44105,tornade,s’abattre,Func2
ls:fr:node:42568,ls:fr:node:44105,tornade,s’abattre,Func2
ls:fr:node:42568,ls:fr:node:43509,tornade,se déchaîner,Func2
ls:fr:node:42568,ls:fr:node:44099,tornade,balayer,Func2
ls:fr:node:42568,ls:fr:node:44100,tornade,frapper,Func2
ls:fr:node:42586,ls:fr:node:42717,averse,tomber,Func2
ls:fr:node:42917,ls:fr:node:29704,éclair,traverser,Func2
ls:fr:node:43198,ls:fr:node:44925,tempête,gronder,Func2
ls:fr:node:43198,ls:fr:node:44100,tempête,frapper,Func2
ls:fr:node:43198,ls:fr:node:44369,tempête,souffler,Func2
ls:fr:node:43198,ls:fr:node:44105,tempête,s’abattre,Func2
ls:fr:node:43198,ls:fr:node:44106,tempête,secouer,Func2
ls:fr:node:43198,ls:fr:node:44370,tempête,passer,Func2
ls:fr:node:44153,ls:fr:node:26928,fleuve,couler,Func2
ls:fr:node:44153,ls:fr:node:41991,fleuve,se déverser,Func2
ls:fr:node:44153,ls:fr:node:42060,fleuve,s’écouler,Func2
ls:fr:node:45007,ls:fr:node:31137,bruit,courir,Func2
ls:fr:node:45007,ls:fr:node:31847,bruit,circuler,Func2
ls:fr:node:45007,ls:fr:node:44764,bruit,se propager,Func2
ls:fr:node:45007,ls:fr:node:44259,bruit,se répandre,Func2
ls:fr:node:45089,ls:fr:node:31137,buzz,courir,Func2
ls:fr:node:47398,ls:fr:node:47944,boîte aux lettres,contenir,Func2
ls:fr:node:47729,ls:fr:node:39429,visite médicale,avoir lieu,Func2
ls:fr:node:47729,ls:fr:node:33482,visite médicale,se dérouler,Func2
ls:fr:node:48966,ls:fr:node:45106,maladie,attaquer,Func2
ls:fr:node:48966,ls:fr:node:44104,maladie,atteindre,Func2
ls:fr:node:48966,ls:fr:node:48561,maladie,toucher,Func2
ls:fr:node:53976,ls:fr:node:53977,déficit,s’élever,Func2
ls:fr:node:56616,ls:fr:node:40613,voie,mener,Func2
ls:fr:node:56616,ls:fr:node:52494,voie,conduire,Func2
ls:fr:node:56616,ls:fr:node:48388,voie,déboucher,Func2
ls:fr:node:56620,ls:fr:node:40613,voie,mener,Func2
ls:fr:node:56620,ls:fr:node:52494,voie,conduire,Func2
ls:fr:node:29291,ls:fr:node:40613,route,mener,Func3
ls:fr:node:29291,ls:fr:node:40398,route,aller,Func3
ls:fr:node:38292,ls:fr:node:26862,chiffre,concerner,Func3
ls:fr:node:42595,ls:fr:node:42717,pluie,tomber,Func3
ls:fr:node:42696,ls:fr:node:44369,vent,souffler,Func3
ls:fr:node:42696,ls:fr:node:44370,vent,passer,Func3
ls:fr:node:26514,ls:fr:node:26884,bocal,conserver,Labor12
ls:fr:node:38197,ls:fr:node:56422,rêve,voir,Labor12
ls:fr:node:41766,ls:fr:node:28077,au placard,laisser,Labor12
ls:fr:node:41766,ls:fr:node:45208,au placard,mettre,Labor12
ls:fr:node:41766,ls:fr:node:29104,au placard,ranger,Labor12
ls:fr:node:41766,ls:fr:node:41774,au placard,reléguer,Labor12
ls:fr:node:41766,ls:fr:node:43495,au placard,remiser,Labor12
ls:fr:node:45599,ls:fr:node:43932,sujet,avoir,Labor12
ls:fr:node:45599,ls:fr:node:38727,sujet,prendre,Labor12
ls:fr:node:54539,ls:fr:node:45214,bilan,recevoir,Labor13
ls:fr:node:26291,ls:fr:node:43932,ami,avoir,Labor21
ls:fr:node:27309,ls:fr:node:43932,ennemi,avoir,Labor21
ls:fr:node:27348,ls:fr:node:26434,environnement,avoir,Labor21
ls:fr:node:30858,ls:fr:node:43932,ami,avoir,Labor21
ls:fr:node:26269,ls:fr:node:50447,allergie,souffrir,Oper1
ls:fr:node:26291,ls:fr:node:34765,ami,être,Oper1
ls:fr:node:26292,ls:fr:node:56691,amour,avoir,Oper1
ls:fr:node:26292,ls:fr:node:27370,amour,éprouver,Oper1
ls:fr:node:26292,ls:fr:node:56763,amour,porter,Oper1
ls:fr:node:26292,ls:fr:node:29223,amour,ressentir,Oper1
ls:fr:node:26297,ls:fr:node:39134,analogie,faire,Oper1
ls:fr:node:26297,ls:fr:node:44594,analogie,tracer,Oper1
ls:fr:node:26297,ls:fr:node:38548,analogie,établir,Oper1
ls:fr:node:26383,ls:fr:node:26837,attentat,commettre,Oper1
ls:fr:node:26383,ls:fr:node:39361,attentat,perpétrer,Oper1
ls:fr:node:26387,ls:fr:node:28239,attitude,manifester,Oper1
ls:fr:node:26387,ls:fr:node:44438,attitude,observer,Oper1
ls:fr:node:26471,ls:fr:node:39134,basket,faire,Oper1
ls:fr:node:26471,ls:fr:node:39115,basket,jouer,Oper1
ls:fr:node:26505,ls:fr:node:27137,blague,dire,Oper1
ls:fr:node:26505,ls:fr:node:39134,blague,faire,Oper1
ls:fr:node:26526,ls:fr:node:56691,bonheur,avoir,Oper1
ls:fr:node:26526,ls:fr:node:27370,bonheur,éprouver,Oper1
ls:fr:node:26526,ls:fr:node:29223,bonheur,ressentir,Oper1
ls:fr:node:26526,ls:fr:node:55113,bonheur,goûter,Oper1
ls:fr:node:26557,ls:fr:node:39134,boxe,faire,Oper1
ls:fr:node:26625,ls:fr:node:56691,cancer,avoir,Oper1
ls:fr:node:26625,ls:fr:node:50447,cancer,souffrir,Oper1
ls:fr:node:26668,ls:fr:node:39509,cauchemar,faire,Oper1
ls:fr:node:26698,ls:fr:node:56691,chagrin,avoir,Oper1
ls:fr:node:26698,ls:fr:node:27370,chagrin,éprouver,Oper1
ls:fr:node:26698,ls:fr:node:29223,chagrin,ressentir,Oper1
ls:fr:node:26709,ls:fr:node:39134,chantage,faire,Oper1
ls:fr:node:26709,ls:fr:node:39277,chantage,exercer,Oper1
ls:fr:node:26709,ls:fr:node:36320,chantage,se livrer,Oper1
ls:fr:node:26709,ls:fr:node:39280,chantage,recourir,Oper1
ls:fr:node:26709,ls:fr:node:39282,chantage,user,Oper1
ls:fr:node:26709,ls:fr:node:39285,chantage,pratiquer,Oper1
ls:fr:node:26742,ls:fr:node:38555,cheveux,porter,Oper1
ls:fr:node:26742,ls:fr:node:43932,cheveux,avoir,Oper1
ls:fr:node:26814,ls:fr:node:56691,colère,avoir,Oper1
ls:fr:node:26814,ls:fr:node:27370,colère,éprouver,Oper1
ls:fr:node:26814,ls:fr:node:29223,colère,ressentir,Oper1
ls:fr:node:26850,ls:fr:node:56400,compliment,présenter,Oper1
ls:fr:node:26863,ls:fr:node:33606,concert,donner,Oper1
ls:fr:node:26863,ls:fr:node:45573,concert,se produire,Oper1
ls:fr:node:26911,ls:fr:node:43932,coquille,avoir,Oper1
ls:fr:node:26911,ls:fr:node:43735,coquille,posséder,Oper1
ls:fr:node:26934,ls:fr:node:39416,couple,former,Oper1
ls:fr:node:26968,ls:fr:node:26181,crime,accomplir,Oper1
ls:fr:node:26968,ls:fr:node:26837,crime,commettre,Oper1
ls:fr:node:26968,ls:fr:node:39361,crime,perpétrer,Oper1
ls:fr:node:26983,ls:fr:node:39134,cuisine,faire,Oper1
ls:fr:node:26987,ls:fr:node:56691,curiosité,avoir,Oper1
ls:fr:node:26992,ls:fr:node:44960,danger,courir,Oper1
ls:fr:node:27052,ls:fr:node:39134,demi-tour,faire,Oper1
ls:fr:node:27142,ls:fr:node:33916,discours,prononcer,Oper1
ls:fr:node:27142,ls:fr:node:39134,discours,faire,Oper1
ls:fr:node:27185,ls:fr:node:38679,douche,être,Oper1
ls:fr:node:27185,ls:fr:node:41576,douche,passer,Oper1
