source,target,source_lexname,target_lexname
ls:fr:node:37781,ls:fr:node:35390,mesure,effectuer
ls:fr:node:29673,ls:fr:node:35390,tournée,effectuer
ls:fr:node:29883,ls:fr:node:35390,voyage,effectuer
ls:fr:node:29600,ls:fr:node:38831,tempête,essuyer
ls:fr:node:29658,ls:fr:node:38831,tornade,essuyer
ls:fr:node:38503,ls:fr:node:38831,veste,essuyer
ls:fr:node:26709,ls:fr:node:39277,chantage,exercer
ls:fr:node:28921,ls:fr:node:35424,pouvoir,exercer
ls:fr:node:54321,ls:fr:node:39277,emprise,exercer
ls:fr:node:38425,ls:fr:node:43761,visage,exhiber
ls:fr:node:30718,ls:fr:node:27473,félicitations,exprimer
ls:fr:node:27825,ls:fr:node:27458,hold-up,exécuter
ls:fr:node:38777,ls:fr:node:27458,numéro,exécuter
ls:fr:node:30965,ls:fr:node:27458,crime,exécuter
ls:fr:node:38197,ls:fr:node:39509,rêve,faire
ls:fr:node:38486,ls:fr:node:39134,déplacement,faire
ls:fr:node:38524,ls:fr:node:39134,marche,faire
ls:fr:node:47697,ls:fr:node:39134,roupillon,faire
ls:fr:node:38777,ls:fr:node:39134,numéro,faire
ls:fr:node:38828,ls:fr:node:39134,autoroute,faire
ls:fr:node:40438,ls:fr:node:39134,coup de maître,faire
ls:fr:node:38842,ls:fr:node:39318,cravate,faire
ls:fr:node:40860,ls:fr:node:39134,auto-stop,faire
ls:fr:node:40943,ls:fr:node:39134,avion,faire
ls:fr:node:41057,ls:fr:node:39134,voiture,faire
ls:fr:node:41150,ls:fr:node:39134,bicyclette,faire
ls:fr:node:41505,ls:fr:node:39134,rond de jambe,faire
ls:fr:node:42148,ls:fr:node:39134,tricycle,faire
ls:fr:node:42311,ls:fr:node:39134,placard,faire
ls:fr:node:45528,ls:fr:node:39134,sprint,faire
ls:fr:node:45501,ls:fr:node:39134,cours,faire
ls:fr:node:42685,ls:fr:node:39134,sale boulot,faire
ls:fr:node:42694,ls:fr:node:39509,vent,faire
ls:fr:node:43384,ls:fr:node:39134,gros dos,faire
ls:fr:node:45101,ls:fr:node:39318,couleur,faire
ls:fr:node:43669,ls:fr:node:39134,voile,faire
ls:fr:node:44717,ls:fr:node:39134,acte de présence,faire
ls:fr:node:44157,ls:fr:node:39134,chant,faire
ls:fr:node:44185,ls:fr:node:39134,repas,faire
ls:fr:node:45809,ls:fr:node:39134,moto,faire
ls:fr:node:38829,ls:fr:node:39134,route,faire
ls:fr:node:40647,ls:fr:node:39134,coup par coup,faire
ls:fr:node:46618,ls:fr:node:39134,longueur,faire
ls:fr:node:38912,ls:fr:node:39134,lessive,faire
ls:fr:node:47386,ls:fr:node:39134,tandem,faire
ls:fr:node:47371,ls:fr:node:39134,VTT,faire
ls:fr:node:47370,ls:fr:node:39134,vélo tout terrain,faire
ls:fr:node:47369,ls:fr:node:39134,VTC,faire
ls:fr:node:39615,ls:fr:node:39134,ski,faire
ls:fr:node:47368,ls:fr:node:39134,vélo tout chemin,faire
ls:fr:node:39899,ls:fr:node:39134,promenade,faire
ls:fr:node:39986,ls:fr:node:39134,marche nordique,faire
ls:fr:node:40043,ls:fr:node:39134,marche arrière,faire
ls:fr:node:40163,ls:fr:node:39318,produit,faire
ls:fr:node:40358,ls:fr:node:39134,coup d’État,faire
ls:fr:node:40386,ls:fr:node:39134,coup,faire
ls:fr:node:47367,ls:fr:node:39134,BMX,faire
ls:fr:node:47366,ls:fr:node:39134,bicross,faire
ls:fr:node:40461,ls:fr:node:39134,coup double,faire
ls:fr:node:47101,ls:fr:node:39134,chevaux,faire
ls:fr:node:40637,ls:fr:node:39509,fausse route,faire
ls:fr:node:36908,ls:fr:node:39509,prévision,faire
ls:fr:node:30948,ls:fr:node:39134,volte-face,faire
ls:fr:node:48519,ls:fr:node:39134,vélo d’appartement,faire
ls:fr:node:28790,ls:fr:node:39134,ping-pong,faire
ls:fr:node:54121,ls:fr:node:39134,calembour,faire
ls:fr:node:54120,ls:fr:node:39134,jeu de mots,faire
ls:fr:node:54100,ls:fr:node:39134,deux poids et deux mesures,faire
ls:fr:node:54052,ls:fr:node:39134,doigt d’honneur,faire
ls:fr:node:54046,ls:fr:node:39134,poisson d’avril,faire
ls:fr:node:29296,ls:fr:node:39134,rugby,faire
ls:fr:node:29406,ls:fr:node:39134,sieste,faire
ls:fr:node:29494,ls:fr:node:39134,sport,faire
ls:fr:node:54316,ls:fr:node:39134,méchanceté,faire
ls:fr:node:29608,ls:fr:node:39134,tennis,faire
ls:fr:node:53914,ls:fr:node:39134,lumière,faire
ls:fr:node:29673,ls:fr:node:39134,tournée,faire
ls:fr:node:53835,ls:fr:node:39134,putsch,faire
ls:fr:node:29873,ls:fr:node:39134,volley-ball,faire
ls:fr:node:29883,ls:fr:node:39134,voyage,faire
ls:fr:node:53764,ls:fr:node:39134,sermon,faire
ls:fr:node:30555,ls:fr:node:39318,pipe,faire
ls:fr:node:30570,ls:fr:node:39134,éloge,faire
ls:fr:node:30651,ls:fr:node:39134,cinéma,faire
ls:fr:node:29645,ls:fr:node:39134,toilette,faire
ls:fr:node:51239,ls:fr:node:39509,prédiction,faire
ls:fr:node:28701,ls:fr:node:39134,pause,faire
ls:fr:node:28456,ls:fr:node:39134,musique,faire
ls:fr:node:26297,ls:fr:node:39134,analogie,faire
ls:fr:node:56588,ls:fr:node:39134,citation,faire
ls:fr:node:26471,ls:fr:node:39134,basket,faire
ls:fr:node:26505,ls:fr:node:39134,blague,faire
ls:fr:node:26557,ls:fr:node:39134,boxe,faire
